file,slug,title,year,discipline,medium,dimensions,materials,edition,status,location,project,series,description,images,tags,external_links,notes
content/oeuvre/painting/2016/approximate-completion/index.md,approximate-completion,Approximate Completion,2016,2016,,,,,,,,,,,,,
content/oeuvre/painting/2016/spring/index.md,spring,Spring,2016,2016,,,,,,,,,,,,,
content/oeuvre/painting/2018/flicker-rhino/index.md,flicker-rhino,Flicker Rhino,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/a-muscaria/index.md,a-muscaria,A. Muscaria,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/octobat/index.md,octobat,Octobat,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/three-blue-corn/index.md,three-blue-corn,Three Blue Corn,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/prickly-pear/index.md,prickly-pear,Prickly Pear,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/narwhal/index.md,narwhal,Narwhal,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/robot-family/index.md,robot-family,Robot Family,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/seven/index.md,seven,Seven,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/thursday/index.md,thursday,Thursday,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/elephant-mask/index.md,elephant-mask,Elephant Mask,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/hands/index.md,hands,Hands,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/pinned/index.md,pinned,Pinned,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/airdrop/index.md,airdrop,Airdrop,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2018/crystal-tooth-whale/index.md,crystal-tooth-whale,Crystal Tooth Whale,2018,2018,,,,,,,,,,,,,
content/oeuvre/painting/2020/migratory-scavengers/index.md,migratory-scavengers,Migratory Scavengers,2020,2020,,,,,,,,,,,,,
content/oeuvre/painting/2020/nana/index.md,nana,Nana,2020,2020,,,,,,,,,,,,,
content/oeuvre/painting/2020/michael/index.md,michael,Michael,2020,2020,,,,,,,,,,,,,
content/oeuvre/painting/2020/solar-ascension/index.md,solar-ascension,Solar Ascension,2020,2020,,,,,,,,,,,,,
content/oeuvre/painting/2020/rocket-propelled-clovis-point/index.md,rocket-propelled-clovis-point,Rocket Propelled Clovis Point,2020,2020,,,,,,,,,,,,,
content/oeuvre/painting/2020/shawn/index.md,shawn,Shawn Fischer,2020,2020,,,,,,,,,,,,,
content/oeuvre/painting/2020/bonsai-giant-sequoia/index.md,bonsai-giant-sequoia,Bonsai Giant Sequoia,2020,2020,,,,,,,,,,,,,
content/oeuvre/painting/2021/the-mother-bear/index.md,the-mother-bear,the mother bear,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/transition/index.md,transition,transition,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/pink-and-yellow/index.md,pink-and-yellow,pink and yellow,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/cydney-and-val/index.md,cydney-and-val,cydney and val,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/path-though-the-autumn-leaves/index.md,path-though-the-autumn-leaves,path though the autumn leaves,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/tugboat-whale-sequoia/index.md,tugboat-whale-sequoia,tugboat whale sequoia,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/there-once-was-ice-here/index.md,there-once-was-ice-here,there once was ice here,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/bison-robotics/index.md,bison-robotics,bison robotics,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/transplanter/index.md,transplanter,transplanter,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/paper-neck-giraffes/index.md,paper-neck-giraffes,paper neck giraffes,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/rhino-radar/index.md,rhino-radar,rhino radar,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/preservation-cactus/index.md,preservation-cactus,preservation cactus,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/cyclic-repetition/index.md,cyclic-repetition,cyclic repetition,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2021/the-berry-picker/index.md,the-berry-picker,the berry picker,2021,2021,,,,,,,,,,,,,
content/oeuvre/painting/2019/monsoon-bird/index.md,monsoon-bird,Monsoon Bird,2019,2019,,,,,,,,,,,,,
content/oeuvre/painting/2019/self-portrait/index.md,self-portrait,Self Portrait,2019,2019,,,,,,,,,,,,,
content/oeuvre/painting/2017/yellow-and-orange/index.md,yellow-and-orange,Yellow and Orange,2017,2017,,,,,,,,,,,,,
content/oeuvre/painting/2009/muxy/index.md,muxy,Muxy,2009,2009,,,,,,,,,,,,,
content/oeuvre/painting/2012/me-own-juniper/index.md,me-own-juniper,Me Own Juniper,2012,2012,,,,,,,,,,,,,
content/oeuvre/painting/2015/egg/index.md,egg,Egg,2015,2015,,,,,,,,,,,,,
content/oeuvre/painting/2015/split-the-atom/index.md,split-the-atom,Split the Atom,2015,2015,,,,,,,,,,,,,
content/oeuvre/painting/2015/enso/index.md,enso,Enso,2015,2015,,,,,,,,,,,,,
content/oeuvre/painting/2015/clouds/index.md,clouds,Clouds,2015,2015,,,,,,,,,,,,,
content/oeuvre/painting/2015/binoculars/index.md,binoculars,Binoculars,2015,2015,,,,,,,,,,,,,
content/oeuvre/painting/2015/substantial/index.md,substantial,Substantial,2015,2015,,,,,,,,,,,,,
content/oeuvre/painting/2015/cadence/index.md,cadence,Cadence,2015,2015,,,,,,,,,,,,,
content/oeuvre/painting/2023/autumnal-twilight/index.md,autumnal-twilight,Autumnal Twilight,2023,2023,,,,,,,,,,,,,
content/oeuvre/painting/2023/untitled-begins/index.md,untitled-begins,Untitled Begins,2023,2023,,,,,,,,,,,,,
content/oeuvre/painting/2023/harmonics/index.md,harmonics,Harmonics,2023,2023,,,,,,,,,,,,,
content/oeuvre/painting/2023/geometric-anatomy/index.md,geometric-anatomy,Geometric Anatomy,2023,2023,,,,,,,,,,,,,
content/oeuvre/painting/2023/calavera-del-caballo/index.md,calavera-del-caballo,Calavera Del Caballo,2023,2023,,,,,,,,,,,,,
content/oeuvre/painting/2023/first-contact/index.md,first-contact,First Contact,2023,2023,,,,,,,,,,,,,
content/oeuvre/painting/2024/low-angle-sun-rays/index.md,low-angle-sun-rays,low angle sun rays,2024,2024,,,,,,,,,,,,,
content/oeuvre/painting/2024/equilateral-equilibrium/index.md,equilateral-equilibrium,equilateral equilibrium,2024,2024,,,,,,,,,,,,,
content/oeuvre/painting/2024/alpenglow-at-mineral-creek-with-the-adults-after-the-babies-have-gone-to-sleep/index.md,alpenglow-at-mineral-creek-with-the-adults-after-the-babies-have-gone-to-sleep,alpenglow at mineral creek with the adults after the babies have gone to sleep,2024,2024,,,,,,,,,,,,,
